Unnamed: 0,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
1871,Avian rotavirus turkey/Minnesota/B3006/2008,639267,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1872,Avian rotavirus turkey/Minnesota/B3007/2008,639268,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1873,Avian rotavirus turkey/Minnesota/B3025/2008,639269,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1874,Avian rotavirus turkey/Minnesota/B3029/2008,639270,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1875,Avian rotavirus turkey/Minnesota/B4021/2008,639271,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1876,Avian rotavirus turkey/Minnesota/B5006/2008,639272,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1877,Avian rotavirus turkey/Minnesota/B5009/2008,639273,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1878,Avian rotavirus turkey/Minnesota/B5015/2008,639274,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1879,Avian rotavirus turkey/Minnesota/B5018/2008,639275,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1880,Avian rotavirus turkey/Minnesota/B5019/2008,639276,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1881,Avian rotavirus turkey/Minnesota/B5020/2008,639277,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1882,Avian rotavirus turkey/Minnesota/B5022/2008,639278,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1883,Avian rotavirus turkey/Minnesota/B5023/2008,639279,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1884,Avian rotavirus turkey/Minnesota/B5024/2008,639280,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1885,Avian rotavirus turkey/Minnesota/B5035/2008,639281,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
1840,Avian nephritis virus 3,640327,Stellavirales,Astroviridae,Avastrovirus,False,False,False,True,False,True,False,,,,False,False,True,True,False,True,False,False
522,Quang Binh virus,643132,Amarillovirales,Flaviviridae,Orthoflavivirus,True,False,False,True,False,True,False,10891.0,52.0,,True,False,False,False,True,False,False,False
1842,Coronavirus Anas/p71/2005/GBR,643397,Nidovirales,Coronaviridae,,True,False,False,True,False,True,False,,,,True,False,False,True,False,False,True,False
1843,Coronavirus red knot/p60/2006/GBR,643398,Nidovirales,Coronaviridae,,True,False,False,True,False,True,False,,,,True,False,False,True,False,False,True,False
1844,Coronavirus oystercatcher/p17/2006/GBR,643399,Nidovirales,Coronaviridae,,True,False,False,True,False,True,False,,,,True,False,False,True,False,False,True,False
1845,Coronavirus Anas/p42/2005/GBR,643400,Nidovirales,Coronaviridae,,True,False,False,True,False,True,False,,,,True,False,False,True,False,False,True,False
577,Nyavirus nyamaniniense,644610,Mononegavirales,Nyamiviridae,Nyavirus,True,False,False,True,True,False,True,11631.0,52.5,6.0,True,False,False,False,False,False,True,False
